accuracy,loss,val_accuracy,val_loss,learning_rate
0.4529687464237213,0.7849041223526001,0.6575000286102295,0.653616189956665,0.0010000000474974513
0.5103124976158142,0.7177445888519287,0.6100000143051147,0.6607507467269897,0.0010000000474974513
0.542187511920929,0.7014114260673523,0.6075000166893005,0.6624341607093811,0.0010000000474974513
0.55078125,0.6965377330780029,0.606249988079071,0.6643655896186829,0.0010000000474974513
0.5596874952316284,0.6850809454917908,0.5956249833106995,0.6669480800628662,0.0010000000474974513
0.5592187643051147,0.6815006732940674,0.5874999761581421,0.6677240133285522,0.0010000000474974513
0.574999988079071,0.6726747155189514,0.5849999785423279,0.6677892208099365,0.0005000000237487257
0.5795312523841858,0.6697695851325989,0.5887500047683716,0.6658995747566223,0.0005000000237487257
0.5957812666893005,0.6622380614280701,0.5631250143051147,0.6730074286460876,0.0005000000237487257
0.6000000238418579,0.6624791026115417,0.5718749761581421,0.671983003616333,0.0005000000237487257
0.5956249833106995,0.6552550792694092,0.5756250023841858,0.6726720929145813,0.0005000000237487257
